# SDSS Spec efficiency for SIM = G10smear 
#
# EFF(r)  = 1               (r < 20.3456) 
# EFF(r)  = 1/[ 1 + (r-20.3456)]**0.930191  (r > 20.3456) 
# EFF(g-r)= Gauss[ (g - r + -0.0422527), sig=-0.339447 ] 
# SPECEFF = EFF(r) x EFF(g-r) 
#

NVAR: 2
VARNAMES:  REDSHIFT  SPECEFF  # ensure 100% eff at low redshift 
SPECEFF:  0.00  1.000 
SPECEFF:  0.10  1.000 


NVAR: 3
VARNAMES:    g-r    r    SPECEFF
SPECEFF:   -1.98  15.05   1.0000           
SPECEFF:   -1.98  15.15   1.0000           
SPECEFF:   -1.98  15.25   1.0000           
SPECEFF:   -1.98  15.35   1.0000           
SPECEFF:   -1.98  15.45   1.0000           
SPECEFF:   -1.98  15.55   1.0000           
SPECEFF:   -1.98  15.65   1.0000           
SPECEFF:   -1.98  15.75   1.0000           
SPECEFF:   -1.98  15.85   1.0000           
SPECEFF:   -1.98  15.95   1.0000           
SPECEFF:   -1.98  16.05   1.0000           
SPECEFF:   -1.98  16.15   1.0000           
SPECEFF:   -1.98  16.25   1.0000           
SPECEFF:   -1.98  16.35   1.0000           
SPECEFF:   -1.98  16.45   1.0000           
SPECEFF:   -1.98  16.55   1.0000           
SPECEFF:   -1.98  16.65   1.0000           
SPECEFF:   -1.98  16.75   1.0000           
SPECEFF:   -1.98  16.85   1.0000           
SPECEFF:   -1.98  16.95   1.0000           
SPECEFF:   -1.98  17.05   1.0000           
SPECEFF:   -1.98  17.15   1.0000           
SPECEFF:   -1.98  17.25   1.0000           
SPECEFF:   -1.98  17.35   1.0000           
SPECEFF:   -1.98  17.45   1.0000           
SPECEFF:   -1.98  17.55   1.0000           
SPECEFF:   -1.98  17.65   1.0000           
SPECEFF:   -1.98  17.75   1.0000           
SPECEFF:   -1.98  17.85   1.0000           
SPECEFF:   -1.98  17.95   1.0000           
SPECEFF:   -1.98  18.05   1.0000           
SPECEFF:   -1.98  18.15   1.0000           
SPECEFF:   -1.98  18.25   1.0000           
SPECEFF:   -1.98  18.35   1.0000           
SPECEFF:   -1.98  18.45   1.0000           
SPECEFF:   -1.98  18.55   1.0000           
SPECEFF:   -1.98  18.65   1.0000           
SPECEFF:   -1.98  18.75   1.0000           
SPECEFF:   -1.98  18.85   1.0000           
SPECEFF:   -1.98  18.95   1.0000           
SPECEFF:   -1.98  19.05   1.0000           
SPECEFF:   -1.98  19.15   1.0000           
SPECEFF:   -1.98  19.25   1.0000           
SPECEFF:   -1.98  19.35   1.0000           
SPECEFF:   -1.98  19.45   1.0000           
SPECEFF:   -1.98  19.55   1.0000           
SPECEFF:   -1.98  19.65   1.0000           
SPECEFF:   -1.98  19.75   1.0000           
SPECEFF:   -1.98  19.85   1.0000           
SPECEFF:   -1.98  19.95   1.0000           
SPECEFF:   -1.98  20.05   1.0000           
SPECEFF:   -1.98  20.15   1.0000           
SPECEFF:   -1.98  20.25   1.0000           
SPECEFF:   -1.98  20.35   0.9959           
SPECEFF:   -1.98  20.45   0.9118           
SPECEFF:   -1.98  20.55   0.8411           
SPECEFF:   -1.98  20.65   0.7810           
SPECEFF:   -1.98  20.75   0.7291           
SPECEFF:   -1.98  20.85   0.6839           
SPECEFF:   -1.98  20.95   0.6442           
SPECEFF:   -1.98  21.05   0.6090           
SPECEFF:   -1.98  21.15   0.5775           
SPECEFF:   -1.98  21.25   0.5493           
SPECEFF:   -1.98  21.35   0.5237           
SPECEFF:   -1.98  21.45   0.5005           
SPECEFF:   -1.98  21.55   0.4794           
SPECEFF:   -1.98  21.65   0.4600           
SPECEFF:   -1.98  21.75   0.4422           
SPECEFF:   -1.98  21.85   0.4257           
SPECEFF:   -1.98  21.95   0.4105           
SPECEFF:   -1.98  22.05   0.3964           
SPECEFF:   -1.98  22.15   0.3832           
SPECEFF:   -1.98  22.25   0.3709           
SPECEFF:   -1.98  22.35   0.3594           
SPECEFF:   -1.98  22.45   0.3486           
SPECEFF:   -1.98  22.55   0.3385           
SPECEFF:   -1.98  22.65   0.3290           
SPECEFF:   -1.98  22.75   0.3200           
SPECEFF:   -1.98  22.85   0.3115           
SPECEFF:   -1.98  22.95   0.3034           
SPECEFF:   -1.98  23.05   0.2958           
SPECEFF:   -1.98  23.15   0.2886           
SPECEFF:   -1.98  23.25   0.2817           
SPECEFF:   -1.98  23.35   0.2751           
SPECEFF:   -1.98  23.45   0.2689           
SPECEFF:   -1.98  23.55   0.2629           
SPECEFF:   -1.98  23.65   0.2572           
SPECEFF:   -1.98  23.75   0.2518           
SPECEFF:   -1.98  23.85   0.2466           
SPECEFF:   -1.98  23.95   0.2416           
SPECEFF:   -1.98  24.05   0.2368           
SPECEFF:   -1.98  24.15   0.2322           
SPECEFF:   -1.98  24.25   0.2278           
SPECEFF:   -1.98  24.35   0.2236           
SPECEFF:   -1.98  24.45   0.2195           
SPECEFF:   -1.98  24.55   0.2156           
SPECEFF:   -1.98  24.65   0.2118           
SPECEFF:   -1.98  24.75   0.2082           
SPECEFF:   -1.98  24.85   0.2046           
SPECEFF:   -1.98  24.95   0.2012           
SPECEFF:   -1.93  15.05   1.0000           
SPECEFF:   -1.93  15.15   1.0000           
SPECEFF:   -1.93  15.25   1.0000           
SPECEFF:   -1.93  15.35   1.0000           
SPECEFF:   -1.93  15.45   1.0000           
SPECEFF:   -1.93  15.55   1.0000           
SPECEFF:   -1.93  15.65   1.0000           
SPECEFF:   -1.93  15.75   1.0000           
SPECEFF:   -1.93  15.85   1.0000           
SPECEFF:   -1.93  15.95   1.0000           
SPECEFF:   -1.93  16.05   1.0000           
SPECEFF:   -1.93  16.15   1.0000           
SPECEFF:   -1.93  16.25   1.0000           
SPECEFF:   -1.93  16.35   1.0000           
SPECEFF:   -1.93  16.45   1.0000           
SPECEFF:   -1.93  16.55   1.0000           
SPECEFF:   -1.93  16.65   1.0000           
SPECEFF:   -1.93  16.75   1.0000           
SPECEFF:   -1.93  16.85   1.0000           
SPECEFF:   -1.93  16.95   1.0000           
SPECEFF:   -1.93  17.05   1.0000           
SPECEFF:   -1.93  17.15   1.0000           
SPECEFF:   -1.93  17.25   1.0000           
SPECEFF:   -1.93  17.35   1.0000           
SPECEFF:   -1.93  17.45   1.0000           
SPECEFF:   -1.93  17.55   1.0000           
SPECEFF:   -1.93  17.65   1.0000           
SPECEFF:   -1.93  17.75   1.0000           
SPECEFF:   -1.93  17.85   1.0000           
SPECEFF:   -1.93  17.95   1.0000           
SPECEFF:   -1.93  18.05   1.0000           
SPECEFF:   -1.93  18.15   1.0000           
SPECEFF:   -1.93  18.25   1.0000           
SPECEFF:   -1.93  18.35   1.0000           
SPECEFF:   -1.93  18.45   1.0000           
SPECEFF:   -1.93  18.55   1.0000           
SPECEFF:   -1.93  18.65   1.0000           
SPECEFF:   -1.93  18.75   1.0000           
SPECEFF:   -1.93  18.85   1.0000           
SPECEFF:   -1.93  18.95   1.0000           
SPECEFF:   -1.93  19.05   1.0000           
SPECEFF:   -1.93  19.15   1.0000           
SPECEFF:   -1.93  19.25   1.0000           
SPECEFF:   -1.93  19.35   1.0000           
SPECEFF:   -1.93  19.45   1.0000           
SPECEFF:   -1.93  19.55   1.0000           
SPECEFF:   -1.93  19.65   1.0000           
SPECEFF:   -1.93  19.75   1.0000           
SPECEFF:   -1.93  19.85   1.0000           
SPECEFF:   -1.93  19.95   1.0000           
SPECEFF:   -1.93  20.05   1.0000           
SPECEFF:   -1.93  20.15   1.0000           
SPECEFF:   -1.93  20.25   1.0000           
SPECEFF:   -1.93  20.35   0.9959           
SPECEFF:   -1.93  20.45   0.9118           
SPECEFF:   -1.93  20.55   0.8411           
SPECEFF:   -1.93  20.65   0.7810           
SPECEFF:   -1.93  20.75   0.7291           
SPECEFF:   -1.93  20.85   0.6839           
SPECEFF:   -1.93  20.95   0.6442           
SPECEFF:   -1.93  21.05   0.6090           
SPECEFF:   -1.93  21.15   0.5775           
SPECEFF:   -1.93  21.25   0.5493           
SPECEFF:   -1.93  21.35   0.5237           
SPECEFF:   -1.93  21.45   0.5005           
SPECEFF:   -1.93  21.55   0.4794           
